Filename,Filename2,Date,Time,Place,Species,Comment,TimeofYear,pseudodate,pseudoday
P1140752.JPG,02.08.2019,2019-08-02,22:48:15,Eldena,Mbra,,1,2019-08-02,1
P1140753.JPG,02.08.2019,2019-08-02,23:35:21,Eldena,Mmyo,,1,2019-08-02,1
P1140755.JPG,03.08.2019,2019-08-03,21:39:38,Eldena,Mbra,,2,2019-08-03,2
P1140763.JPG,04.08.2019,2019-08-04,02:07:45,Eldena,Mnat,,3,2019-08-03,2
P1140764.JPG,04.08.2019,2019-08-04,02:07:53,Eldena,Mnat,,3,2019-08-03,2
P1140765.JPG,04.08.2019,2019-08-04,02:08:07,Eldena,Mnat,,3,2019-08-03,2
P1140767.JPG,05.08.2019,2019-08-05,02:08:42,Eldena,Mnat,,4,2019-08-04,3
P1140768.JPG,05.08.2019,2019-08-05,02:54:22,Eldena,Mdau,,4,2019-08-04,3
P1140769.JPG,05.08.2019,2019-08-05,20:40:41,Eldena,Mnat,,4,2019-08-05,4
P1140770.JPG,05.08.2019,2019-08-05,22:44:44,Eldena,Mbra,,4,2019-08-05,4
P1140771.JPG,05.08.2019,2019-08-05,22:48:14,Eldena,Mbra,,4,2019-08-05,4
P1140772.JPG,05.08.2019,2019-08-05,22:49:14,Eldena,Mbra,,4,2019-08-05,4
P1140776.JPG,06.08.2019,2019-08-06,00:43:29,Eldena,Mnat,multiple bats ,5,2019-08-05,4
P1140777.JPG,06.08.2019,2019-08-06,01:37:55,Eldena,Mnat,,5,2019-08-05,4
P1140778.JPG,06.08.2019,2019-08-06,01:51:46,Eldena,Mnat,multiple bats ,5,2019-08-05,4
P1140779.JPG,06.08.2019,2019-08-06,02:57:20,Eldena,Mnat,,5,2019-08-05,4
P1140780.JPG,07.08.2019,2019-08-07,00:22:01,Eldena,Mnat,,6,2019-08-06,5
P1140786.JPG,08.08.2019,2019-08-08,20:17:22,Eldena,Mdau,,7,2019-08-08,7
P1140787.JPG,08.08.2019,2019-08-08,20:38:37,Eldena,Mdau,,7,2019-08-08,7
P1140788.JPG,08.08.2019,2019-08-08,20:40:25,Eldena,Mdau,,7,2019-08-08,7
P1140789.JPG,08.08.2019,2019-08-08,20:42:15,Eldena,Mdau,,7,2019-08-08,7
P1140790.JPG,08.08.2019,2019-08-08,22:58:39,Eldena,Mdau,,7,2019-08-08,7
