Filename,Date,Time,Place,species_label,ID,label_type,TimeofYear,pseudodate,pseudoday
P1550308.JPG,2021-07-31,0:15:23,Batzbach,Mdau,P1550308.JPG1,species1,1,2021-07-30,0
P1550309.JPG,2021-07-31,1:20:50,Batzbach,Mdau,P1550309.JPG1,species1,1,2021-07-30,0
P1550310.JPG,2021-07-31,1:21:31,Batzbach,Mbra,P1550310.JPG1,species1,1,2021-07-30,0
P1550311.JPG,2021-07-31,1:21:48,Batzbach,Mbra,P1550311.JPG1,species1,1,2021-07-30,0
P1550312.JPG,2021-07-31,1:33:07,Batzbach,Mbra,P1550312.JPG1,species1,1,2021-07-30,0
P1550313.JPG,2021-07-31,1:33:51,Batzbach,Mbra,P1550313.JPG1,species1,1,2021-07-30,0
P1550314.JPG,2021-07-31,1:34:40,Batzbach,Mbra,P1550314.JPG1,species1,1,2021-07-30,0
P1550315.JPG,2021-07-31,22:36:21,Batzbach,Mbec,P1550315.JPG1,species1,1,2021-07-31,1
P1550316.JPG,2021-07-31,23:06:25,Batzbach,Mbec,P1550316.JPG1,species1,1,2021-07-31,1
P1550317.JPG,2021-07-31,23:14:31,Batzbach,Mdau,P1550317.JPG1,species1,1,2021-07-31,1
P1550318.JPG,2021-07-31,23:17:56,Batzbach,Mbec,P1550318.JPG1,species1,1,2021-07-31,1
P1550319.JPG,2021-07-31,23:47:26,Batzbach,Mbec,P1550319.JPG1,species1,1,2021-07-31,1
P1550320.JPG,2021-08-01,0:01:13,Batzbach,Mbec,P1550320.JPG1,species1,0,2021-07-31,-1
P1550321.JPG,2021-08-01,0:03:50,Batzbach,Mdau,P1550321.JPG1,species1,0,2021-07-31,-1
P1550322.JPG,2021-08-01,0:07:26,Batzbach,Mdau,P1550322.JPG1,species1,0,2021-07-31,-1
P1550323.JPG,2021-08-01,0:09:56,Batzbach,Mdau,P1550323.JPG1,species1,0,2021-07-31,-1
P1550324.JPG,2021-08-01,0:19:14,Batzbach,Mdau,P1550324.JPG1,species1,0,2021-07-31,-1
P1550325.JPG,2021-08-01,0:23:42,Batzbach,Mdau,P1550325.JPG1,species1,0,2021-07-31,-1
P1550326.JPG,2021-08-01,0:26:47,Batzbach,Mdau,P1550326.JPG1,species1,0,2021-07-31,-1
P1550327.JPG,2021-08-01,0:30:18,Batzbach,Mdau,P1550327.JPG1,species1,0,2021-07-31,-1
P1550328.JPG,2021-08-01,0:30:24,Batzbach,Mdau,P1550328.JPG1,species1,0,2021-07-31,-1
P1550329.JPG,2021-08-01,0:38:53,Batzbach,Mdau,P1550329.JPG1,species1,0,2021-07-31,-1
P1550330.JPG,2021-08-01,0:44:17,Batzbach,Mdau,P1550330.JPG1,species1,0,2021-07-31,-1
P1550331.JPG,2021-08-01,0:45:26,Batzbach,Mdau,P1550331.JPG1,species1,0,2021-07-31,-1
P1550332.JPG,2021-08-01,0:52:22,Batzbach,Mdau,P1550332.JPG1,species1,0,2021-07-31,-1
P1550333.JPG,2021-08-01,1:01:11,Batzbach,Mbra,P1550333.JPG1,species1,0,2021-07-31,-1
P1550334.JPG,2021-08-01,1:11:03,Batzbach,Mdau,P1550334.JPG1,species1,0,2021-07-31,-1
P1550335.JPG,2021-08-01,1:34:19,Batzbach,Mdau,P1550335.JPG1,species1,0,2021-07-31,-1
P1550336.JPG,2021-08-01,1:34:28,Batzbach,Mdau,P1550336.JPG1,species1,0,2021-07-31,-1
P1550337.JPG,2021-08-01,2:38:08,Batzbach,Mdau,P1550337.JPG1,species1,0,2021-07-31,-1
P1550338.JPG,2021-08-01,2:38:16,Batzbach,Mdau,P1550338.JPG1,species1,0,2021-07-31,-1
P1550339.JPG,2021-08-01,2:38:31,Batzbach,Mdau,P1550339.JPG1,species1,0,2021-07-31,-1
P1550340.JPG,2021-08-01,20:05:34,Batzbach,Mdau,P1550340.JPG1,species1,0,2021-08-01,0
P1550341.JPG,2021-08-01,20:32:08,Batzbach,Mdau,P1550341.JPG1,species1,0,2021-08-01,0
P1550342.JPG,2021-08-01,20:40:50,Batzbach,Mdau,P1550342.JPG1,species1,0,2021-08-01,0
P1550343.JPG,2021-08-01,20:41:06,Batzbach,Mdau,P1550343.JPG1,species1,0,2021-08-01,0
P1550344.JPG,2021-08-01,20:41:47,Batzbach,Mdau,P1550344.JPG1,species1,0,2021-08-01,0
P1550345.JPG,2021-08-01,20:55:59,Batzbach,Mdau,P1550345.JPG1,species1,0,2021-08-01,0
P1550346.JPG,2021-08-01,21:13:46,Batzbach,Mdau,P1550346.JPG1,species1,0,2021-08-01,0
P1550347.JPG,2021-08-01,21:30:27,Batzbach,Mdau,P1550347.JPG1,species1,0,2021-08-01,0
P1550348.JPG,2021-08-01,21:30:35,Batzbach,Mdau,P1550348.JPG1,species1,0,2021-08-01,0
P1550349.JPG,2021-08-01,21:40:59,Batzbach,Mdau,P1550349.JPG1,species1,0,2021-08-01,0
P1550350.JPG,2021-08-01,21:46:48,Batzbach,Mdau,P1550350.JPG1,species1,0,2021-08-01,0
P1550351.JPG,2021-08-01,21:56:17,Batzbach,Mdau,P1550351.JPG1,species1,0,2021-08-01,0
P1550352.JPG,2021-08-01,22:23:38,Batzbach,Mdau,P1550352.JPG1,species1,0,2021-08-01,0
P1550353.JPG,2021-08-01,22:27:29,Batzbach,Mdau,P1550353.JPG1,species1,0,2021-08-01,0
P1550354.JPG,2021-08-01,22:27:35,Batzbach,Mdau,P1550354.JPG1,species1,0,2021-08-01,0
P1550355.JPG,2021-08-01,22:32:32,Batzbach,Mdau,P1550355.JPG1,species1,0,2021-08-01,0
P1550356.JPG,2021-08-01,22:32:45,Batzbach,Mdau,P1550356.JPG1,species1,0,2021-08-01,0
P1550357.JPG,2021-08-01,22:55:35,Batzbach,Mdau,P1550357.JPG1,species1,0,2021-08-01,0
P1550358.JPG,2021-08-01,22:55:42,Batzbach,Mbec,P1550358.JPG1,species1,0,2021-08-01,0
P1550359.JPG,2021-08-01,22:57:59,Batzbach,Mdau,P1550359.JPG1,species1,0,2021-08-01,0
P1550360.JPG,2021-08-01,23:13:22,Batzbach,Mdau,P1550360.JPG1,species1,0,2021-08-01,0
P1550361.JPG,2021-08-01,23:20:01,Batzbach,Mdau,P1550361.JPG1,species1,0,2021-08-01,0
P1550362.JPG,2021-08-01,23:43:32,Batzbach,Mdau,P1550362.JPG1,species1,0,2021-08-01,0
P1550363.JPG,2021-08-01,23:47:23,Batzbach,Mdau,P1550363.JPG1,species1,0,2021-08-01,0
P1550364.JPG,2021-08-02,0:10:48,Batzbach,Mdau,P1550364.JPG1,species1,1,2021-08-01,0
P1550365.JPG,2021-08-02,0:12:09,Batzbach,Mbec,P1550365.JPG1,species1,1,2021-08-01,0
P1550366.JPG,2021-08-02,0:12:09,Batzbach,Mbec,P1550366.JPG1,species1,1,2021-08-01,0
P1550367.JPG,2021-08-02,0:12:18,Batzbach,Mbec,P1550367.JPG1,species1,1,2021-08-01,0
P1550368.JPG,2021-08-02,0:24:34,Batzbach,Mdau,P1550368.JPG1,species1,1,2021-08-01,0
P1550369.JPG,2021-08-02,0:37:18,Batzbach,Mdau,P1550369.JPG1,species1,1,2021-08-01,0
P1550370.JPG,2021-08-02,0:49:38,Batzbach,Mdau,P1550370.JPG1,species1,1,2021-08-01,0
