Filename,Filename2,Date,Time,Place,Individum,Beutegroesse,Comment
P1120001.JPG,,4/6/2019,23:30:32,Gemeinezeche,Fehlauslösung,,
P1120002.JPG,,4/6/2019,23:38:11,Gemeinezeche,Mausohr,,
P1120003.JPG,,4/6/2019,23:39:14,Gemeinezeche,Mausohr,,
P1120004.JPG,,4/6/2019,23:44:53,Gemeinezeche,Mausohr,,
P1120005.JPG,,4/6/2019,23:45:09,Gemeinezeche,Mausohr,,
P1120006.JPG,,4/6/2019,23:45:13,Gemeinezeche,Mausohr,,
P1120007.JPG,,4/6/2019,23:46:11,Gemeinezeche,Mausohr,,
P1120008.JPG,,4/6/2019,23:54:06,Gemeinezeche,Fransenfledermaus,,
P1120009.JPG,,4/7/2019,0:02:11,Gemeinezeche,Bechsteinfledermaus,,
P1120010.JPG,,4/7/2019,0:03:39,Gemeinezeche,Fransenfledermaus,,
P1120011.JPG,,4/7/2019,0:08:03,Gemeinezeche,Mausohr,,
P1120012.JPG,,4/7/2019,0:14:59,Gemeinezeche,Wasserfledermaus,,
P1120013.JPG,,4/7/2019,0:31:34,Gemeinezeche,Mausohr,,
P1120014.JPG,,4/7/2019,0:31:48,Gemeinezeche,Mausohr,,
P1120015.JPG,,4/7/2019,0:41:13,Gemeinezeche,Mausohr,,
P1120016.JPG,,4/7/2019,0:42:02,Gemeinezeche,Mausohr,,
P1120017.JPG,,4/7/2019,0:42:10,Gemeinezeche,Mausohr,,
P1120018.JPG,,4/7/2019,0:51:23,Gemeinezeche,Mausohr,,
P1120019.JPG,,4/7/2019,1:10:10,Gemeinezeche,Bechsteinfledermaus,,
P1120020.JPG,,4/7/2019,1:10:19,Gemeinezeche,Bechsteinfledermaus,,
P1120021.JPG,,4/7/2019,1:10:41,Gemeinezeche,Bechsteinfledermaus,,
P1120022.JPG,,4/7/2019,1:10:51,Gemeinezeche,Bechsteinfledermaus,,
P1120023.JPG,,4/7/2019,1:22:52,Gemeinezeche,Fransenfledermaus,,
P1120024.JPG,,4/7/2019,1:25:27,Gemeinezeche,Wasserfledermaus,,
P1120025.JPG,,4/7/2019,1:39:43,Gemeinezeche,Mausohr,,
P1120026.JPG,,4/7/2019,1:41:44,Gemeinezeche,Mausohr,,
P1120027.JPG,,4/7/2019,1:42:21,Gemeinezeche,Mausohr,,
P1120028.JPG,,4/7/2019,1:44:09,Gemeinezeche,Mausohr,,
P1120029.JPG,,4/7/2019,1:53:27,Gemeinezeche,Fransenfledermaus,,
