Filename,Filename2,Date,Time.x,Place,Species.x,Comment,Time.y,Flag,Multiple,Species.y,Confidence_level,filter,accuracy,check,Gabi,Jaap,Groundtruth,comments,human_exclude
P1180025.JPG,05.10.2019,10/5/2019,3:34:27,Eldena,Bat_unknown,mostly left frame,3:34:27,unsure,     ,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1200065.JPG,24.10.2019,10/24/2019,23:55:09,Eldena,Bat_unknown,only part of wing to be seen,23:55:09,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1200616.JPG,28.10.2019,10/28/2019,22:47:41,Eldena,Bat_unknown,only wingtip to be seen,22:47:41,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1190642.JPG,22.10.2019,10/22/2019,1:18:17,Eldena,Bat_unknown,only wingtip to be seen,1:18:17,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1180341.JPG,08.10.2019,10/8/2019,1:06:09,Eldena,Bat_unknown,only part of the wing to be seen,1:06:09,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1200062.JPG,24.10.2019,10/24/2019,23:50:31,Eldena,Bat_unknown,only wingtip to be seen,23:50:31,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1200001.JPG,24.10.2019,10/24/2019,4:11:33,Eldena,Bat_unknown,only wing to be seen,4:11:33,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1190316.JPG,20.10.2019,10/20/2019,18:57:49,Eldena,Bat_unknown,mostly left frame,18:57:49,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1000789.JPG,12.12.2019,12/12/2019,17:09:10,Eldena,Bat_unknown,leaving/looping?,17:09:10,      ,     ,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1180832.JPG,14.10.2019,10/14/2019,19:34:21,Eldena,Bat_unknown,only wingtip to be seen,19:34:21,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1190624.JPG,22.10.2019,10/22/2019,0:39:43,Eldena,Bat_unknown,mostly left frame,0:39:43,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1200526.JPG,28.10.2019,10/28/2019,0:22:11,Eldena,Bat_unknown,partly left frame,0:22:11,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1190602.JPG,21.10.2019,10/21/2019,23:51:49,Eldena,Bat_unknown,partly left frame,23:51:49,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1180391.JPG,08.10.2019,10/8/2019,22:38:01,Eldena,Bat_unknown,only half of the bat to be seen,22:38:01,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1210883.JPG,12.11.2019,11/12/2019,21:12:01,Eldena,Bat_unknown,mostly left frame,21:12:01,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1180494.JPG,10.10.2019,10/10/2019,22:07:15,Eldena,Bat_unknown,only part of the wing to be seen,22:07:15,unsure,     ,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1180389.JPG,08.10.2019,10/8/2019,22:33:50,Eldena,Bat_unknown,only wing to be seen,22:33:50,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1210219.JPG,06.11.2019,11/6/2019,0:45:53,Eldena,Bat_unknown,only part of wing,0:45:53,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1190730.JPG,22.10.2019,10/22/2019,19:21:25,Eldena,Bat_unknown,only wingtip to be seen,19:21:25,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1180125.JPG,06.10.2019,10/6/2019,21:06:08,Eldena,Bat_unknown,mostly left frame,21:06:08,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1200199.JPG,25.10.2019,10/25/2019,23:13:47,Eldena,Bat_unknown,only part of wing to be seen,23:13:47,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1210194.JPG,05.11.2019,11/5/2019,19:11:37,Eldena,Bat_unknown,only part of wing,19:11:37,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1210187.JPG,05.11.2019,11/5/2019,18:08:45,Eldena,Bat_unknown,only part of wing,18:08:45,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1000285.JPG,30.11.2019,11/30/2019,23:50:47,Eldena,Bat_unknown,,23:37:28,unsure,     ,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1190839.JPG,23.10.2019,10/23/2019,0:41:13,Eldena,Bat_unknown,only part of wing to be seen,0:41:13,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1220086.JPG,16.11.2019,11/16/2019,0:49:46,Eldena,Bat_unknown,partly left frame,0:49:46,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1220073.JPG,15.11.2019,11/15/2019,22:54:59,Eldena,Bat_unknown,,22:54:59,unsure,     ,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1220067.JPG,15.11.2019,11/15/2019,22:32:03,Eldena,Bat_unknown,multiple bats + partly left frame,22:32:03,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
P1200420.JPG,26.10.2019,10/26/2019,18:57:48,Eldena,Bat_unknown,only part of wing to be seen,18:57:48,      ,empty,Empty,100,keep,0,NA,,,Bat_unknown,,TRUE
